"id","data","type","timestamp","ano","mes","dia","hora"
"416","23.9629","temperature","2022-10-13 17:44:53.879019","2022","10","13","17"
"411","77.875","pressure","2022-10-13 17:44:54.148344","2022","10","13","17"
"422","0.9009","powerfactor","2022-10-13 17:44:54.232672","2022","10","13","17"
"417","24.4131","temperature","2022-10-13 17:44:54.316022","2022","10","13","17"
"412","74.8189","pressure","2022-10-13 17:44:54.587809","2022","10","13","17"
"423","0.8119","powerfactor","2022-10-13 17:44:54.670677","2022","10","13","17"
"418","24.6884","temperature","2022-10-13 17:44:54.756451","2022","10","13","17"
"413","72.1172","pressure","2022-10-13 17:44:55.028041","2022","10","13","17"
"424","0.7145","powerfactor","2022-10-13 17:44:55.105905","2022","10","13","17"
"419","20.876","temperature","2022-10-13 17:44:55.193266","2022","10","13","17"
"414","74.934","pressure","2022-10-13 17:44:55.467807","2022","10","13","17"
"425","0.7735","powerfactor","2022-10-13 17:44:55.541715","2022","10","13","17"
"420","21.3927","temperature","2022-10-13 17:44:55.629238","2022","10","13","17"
"415","78.7535","pressure","2022-10-13 17:44:55.908076","2022","10","13","17"
"426","0.8062","powerfactor","2022-10-13 17:44:55.976231","2022","10","13","17"
"421","23.0192","temperature","2022-10-13 17:44:56.067643","2022","10","13","17"
"416","71.963","pressure","2022-10-13 17:44:56.346627","2022","10","13","17"
"427","0.8633","powerfactor","2022-10-13 17:44:56.411848","2022","10","13","17"
"422","21.5888","temperature","2022-10-13 17:44:56.506004","2022","10","13","17"
"417","74.7889","pressure","2022-10-13 17:44:56.786031","2022","10","13","17"
"428","0.9647","powerfactor","2022-10-13 17:44:56.851691","2022","10","13","17"
"423","24.2614","temperature","2022-10-13 17:44:56.942665","2022","10","13","17"
"418","73.1386","pressure","2022-10-13 17:44:57.226164","2022","10","13","17"
"429","0.7928","powerfactor","2022-10-13 17:44:57.286175","2022","10","13","17"
"424","24.9107","temperature","2022-10-13 17:44:57.380920","2022","10","13","17"
"419","79.8594","pressure","2022-10-13 17:44:57.666856","2022","10","13","17"
"430","0.7332","powerfactor","2022-10-13 17:44:57.722354","2022","10","13","17"
"425","20.0221","temperature","2022-10-13 17:44:57.816837","2022","10","13","17"
"420","71.7052","pressure","2022-10-13 17:44:58.107782","2022","10","13","17"
"431","0.9228","powerfactor","2022-10-13 17:44:58.157208","2022","10","13","17"
"426","24.3229","temperature","2022-10-13 17:44:58.252685","2022","10","13","17"
"421","79.5205","pressure","2022-10-13 17:44:58.546523","2022","10","13","17"
"432","0.9286","powerfactor","2022-10-13 17:44:58.593996","2022","10","13","17"
"427","20.2591","temperature","2022-10-13 17:44:58.691212","2022","10","13","17"
"422","74.2876","pressure","2022-10-13 17:44:58.985902","2022","10","13","17"
"433","0.9548","powerfactor","2022-10-13 17:44:59.031136","2022","10","13","17"
"428","23.1091","temperature","2022-10-13 17:44:59.128337","2022","10","13","17"
"423","77.893","pressure","2022-10-13 17:44:59.425019","2022","10","13","17"
"434","0.7982","powerfactor","2022-10-13 17:44:59.466698","2022","10","13","17"
"429","20.6625","temperature","2022-10-13 17:44:59.564233","2022","10","13","17"
"424","79.1159","pressure","2022-10-13 17:44:59.864805","2022","10","13","17"
"435","0.725","powerfactor","2022-10-13 17:44:59.903473","2022","10","13","17"
"430","24.4795","temperature","2022-10-13 17:45:00.001200","2022","10","13","17"
"425","77.9749","pressure","2022-10-13 17:45:00.304647","2022","10","13","17"
"436","0.7397","powerfactor","2022-10-13 17:45:00.338490","2022","10","13","17"
"431","22.189","temperature","2022-10-13 17:45:00.438973","2022","10","13","17"
"426","79.5176","pressure","2022-10-13 17:45:00.744049","2022","10","13","17"
"437","0.8783","powerfactor","2022-10-13 17:45:00.773847","2022","10","13","17"
"432","24.3522","temperature","2022-10-13 17:45:00.874667","2022","10","13","17"
"427","74.9046","pressure","2022-10-13 17:45:01.182583","2022","10","13","17"
"438","0.8344","powerfactor","2022-10-13 17:45:01.211761","2022","10","13","17"
"433","20.3847","temperature","2022-10-13 17:45:01.312008","2022","10","13","17"
"428","76.8308","pressure","2022-10-13 17:45:01.620716","2022","10","13","17"
"439","0.9518","powerfactor","2022-10-13 17:45:01.646817","2022","10","13","17"
"434","23.9888","temperature","2022-10-13 17:45:01.750643","2022","10","13","17"
"429","72.0639","pressure","2022-10-13 17:45:02.059680","2022","10","13","17"
"440","0.8422","powerfactor","2022-10-13 17:45:02.084752","2022","10","13","17"
"435","22.5373","temperature","2022-10-13 17:45:02.187806","2022","10","13","17"
"430","78.0301","pressure","2022-10-13 17:45:02.498946","2022","10","13","17"
"441","0.8347","powerfactor","2022-10-13 17:45:02.521583","2022","10","13","17"
"436","23.5615","temperature","2022-10-13 17:45:02.626754","2022","10","13","17"
"431","79.5008","pressure","2022-10-13 17:45:02.939097","2022","10","13","17"
"442","0.8998","powerfactor","2022-10-13 17:45:02.961051","2022","10","13","17"
"437","23.9267","temperature","2022-10-13 17:45:03.062626","2022","10","13","17"
"432","76.4415","pressure","2022-10-13 17:45:03.377873","2022","10","13","17"
"443","0.7207","powerfactor","2022-10-13 17:45:03.398418","2022","10","13","17"
"438","24.2559","temperature","2022-10-13 17:45:03.501167","2022","10","13","17"
"433","75.2243","pressure","2022-10-13 17:45:03.817503","2022","10","13","17"
"444","0.7397","powerfactor","2022-10-13 17:45:03.833805","2022","10","13","17"
"439","22.6697","temperature","2022-10-13 17:45:03.939567","2022","10","13","17"
"434","75.6769","pressure","2022-10-13 17:45:04.256684","2022","10","13","17"
"445","0.8127","powerfactor","2022-10-13 17:45:04.268274","2022","10","13","17"
"440","20.9194","temperature","2022-10-13 17:45:04.376719","2022","10","13","17"
"435","76.1331","pressure","2022-10-13 17:45:04.695018","2022","10","13","17"
"446","0.93","powerfactor","2022-10-13 17:45:04.705923","2022","10","13","17"
"441","23.9929","temperature","2022-10-13 17:45:04.812790","2022","10","13","17"
"436","79.5345","pressure","2022-10-13 17:45:05.133279","2022","10","13","17"
"447","0.9482","powerfactor","2022-10-13 17:45:05.143824","2022","10","13","17"
"442","20.1863","temperature","2022-10-13 17:45:05.251211","2022","10","13","17"
"437","78.9551","pressure","2022-10-13 17:45:05.571402","2022","10","13","17"
"448","0.8658","powerfactor","2022-10-13 17:45:05.579237","2022","10","13","17"
"443","23.7272","temperature","2022-10-13 17:45:05.689815","2022","10","13","17"
"438","76.3783","pressure","2022-10-13 17:45:06.011399","2022","10","13","17"
"449","0.7406","powerfactor","2022-10-13 17:45:06.017365","2022","10","13","17"
"444","22.4057","temperature","2022-10-13 17:45:06.125764","2022","10","13","17"
"450","0.7544","powerfactor","2022-10-13 17:45:06.453843","2022","10","13","17"
"439","73.7951","pressure","2022-10-13 17:45:06.452228","2022","10","13","17"
"445","21.6464","temperature","2022-10-13 17:45:06.562738","2022","10","13","17"
"451","0.9914","powerfactor","2022-10-13 17:45:06.890958","2022","10","13","17"
"440","71.4282","pressure","2022-10-13 17:45:06.895043","2022","10","13","17"
"446","22.5915","temperature","2022-10-13 17:45:06.998663","2022","10","13","17"
"452","0.9477","powerfactor","2022-10-13 17:45:07.325938","2022","10","13","17"
"441","72.771","pressure","2022-10-13 17:45:07.333986","2022","10","13","17"
"447","22.8775","temperature","2022-10-13 17:45:07.436817","2022","10","13","17"
"453","0.8955","powerfactor","2022-10-13 17:45:07.761616","2022","10","13","17"
"442","76.7615","pressure","2022-10-13 17:45:07.773232","2022","10","13","17"
"448","21.7131","temperature","2022-10-13 17:45:07.872968","2022","10","13","17"
"454","0.9063","powerfactor","2022-10-13 17:45:08.199089","2022","10","13","17"
"443","70.0689","pressure","2022-10-13 17:45:08.213230","2022","10","13","17"
"449","20.8058","temperature","2022-10-13 17:45:08.308925","2022","10","13","17"
"455","0.8929","powerfactor","2022-10-13 17:45:08.634710","2022","10","13","17"
"444","72.6156","pressure","2022-10-13 17:45:08.653131","2022","10","13","17"
"450","20.0257","temperature","2022-10-13 17:45:08.745864","2022","10","13","17"
"456","0.7149","powerfactor","2022-10-13 17:45:09.069714","2022","10","13","17"
"445","75.5303","pressure","2022-10-13 17:45:09.092538","2022","10","13","17"
"451","21.3396","temperature","2022-10-13 17:45:09.183073","2022","10","13","17"
"457","0.9756","powerfactor","2022-10-13 17:45:09.504192","2022","10","13","17"
"446","70.7424","pressure","2022-10-13 17:45:09.530733","2022","10","13","17"
"452","23.1166","temperature","2022-10-13 17:45:09.621904","2022","10","13","17"
"458","0.7851","powerfactor","2022-10-13 17:45:09.941305","2022","10","13","17"
"447","77.8275","pressure","2022-10-13 17:45:09.970843","2022","10","13","17"
"453","21.1117","temperature","2022-10-13 17:45:10.060767","2022","10","13","17"
"459","0.977","powerfactor","2022-10-13 17:45:10.377192","2022","10","13","17"
"448","70.4058","pressure","2022-10-13 17:45:10.408925","2022","10","13","17"
